,information,information,information,information,information,density maxMNAE,density maxMNAE,density maxMNAE,density meanMNAE,density meanMNAE,density meanMNAE,IP,IP,IP
,year,type,hybrid ex,hybrid corr,XYG3-type,RHO,GRD,LR,RHO,GRD,LR,RMSE,MAE,MaxE
functional,,,,,,,,,,,,,,
SOGGA,2008,GGA,,,,2.5542771001284774,2.122159307141783,1.8794742576053236,1.2137229529674323,1.16479544654084,0.8193459289289479,1.810594203530823,1.711665195507577,2.5721471962353917
ωB97,2008,GGA,range-separate,,,2.3106671063512496,2.833088382230939,2.837861590056276,1.203737498737194,1.3442023417202438,1.4360380017484407,2.442921629963182,2.2583921175895925,3.6204813568458007
ωB97X,2008,GGA,range-separate,,,2.0750657234563525,2.4154409209829337,2.4896146951096587,1.0561424780908273,1.1504062032133624,1.2468477281179973,3.34046338748652,3.1308470236862376,4.798264694023658
revTPSS,2009,mGGA,,,,1.9689272350041027,2.0487627527435324,1.5853618258062732,0.9663960559144361,0.7163202935078662,0.6021099538512986,0.9748461916256367,0.8954265559382873,1.4560803277236687
ωB97X-2-LP,2009,GGA,range-separate,hybrid,,2.144335463833498,1.7956604182716265,2.2519294790614115,0.7933283567699947,0.9441834102905798,1.1735248481882936,1.556291026010703,1.466968176428157,2.2120059221696806
ωB97X-2-TQZ,2009,GGA,range-separate,hybrid,,1.6943115099943908,1.8176434653300488,1.9405112771030208,0.7851370754100755,0.8341543500162045,0.9227904503423937,1.3021214694258985,1.2293931628205819,1.843483459035383
XYG3,2009,GGA,hybrid,hybrid,xDH,1.1437142657482426,1.2205084671382984,1.030809974564856,0.4905941643328995,0.40770642579027455,0.3505806455983747,0.4093534780974928,0.3422956703132165,0.6836338252570613
LS1DH-PBE,2011,GGA,hybrid,hybrid,,1.5722216362480843,1.614175538767213,1.241275609348088,0.6668680733606596,0.5019936002293511,0.36464946792401376,0.9352080826703505,0.8807757558486351,1.33643590578032
M11,2011,mGGA,range-separate,,,4.413575735986802,3.2519917997027483,5.613751764723381,1.5733126958290795,2.6937563987042203,4.241968724728594,0.6255982815721913,0.595495898138599,0.8244975204265756
M11-L,2011,mGGA,,,,6.829599935580027,8.469957029912585,16.26759213490789,4.115252888229328,5.944975287528368,9.037655666327275,3.1977525964210343,2.909091607531105,4.858882923247563
PBE0-DH,2011,GGA,hybrid,hybrid,,1.6518725424164422,1.7008575649329951,1.4798077583207203,0.7563257816438373,0.6538603666174693,0.5796891757551508,0.8765433597781773,0.8126727529241103,1.2902342878173272
PTPSS-D3Zero,2011,mGGA,hybrid,hybrid,,1.315985236203698,1.5308048062841502,1.5727529366555748,0.643268574806496,0.6806530981328222,0.7256763986932562,0.6597710396522082,0.6202459265988077,0.9449274071407103
PWPB95-D3Zero,2011,mGGA,hybrid,hybrid,,1.3685909916144825,1.6308769819937243,1.6276582792812164,0.6470351445494311,0.716605924331467,0.7393237666657034,0.46825782351549716,0.4390870766433335,0.6799875273476346
SOGGA11,2011,GGA,,,,4.970631869017227,3.66886797138173,3.792316771765616,1.8234197508485237,1.9317952515924521,2.7518470435642897,0.6377655429913193,0.6269365995336086,0.8266606539102597
SOGGA11X,2011,GGA,hybrid,,,1.5396155382726264,2.2376008027414587,2.8415234690431648,0.9317599243026955,1.1723437779901127,1.285797981654534,0.8118391443033669,0.7569896281749884,1.1912489249145324
XYGJ-OS,2011,GGA,hybrid,hybrid,xDH,0.9079522744244422,0.7333659310113229,0.6742181033136085,0.5046791422208329,0.4629215145014342,0.2665064385965752,0.5667403459570289,0.4675480586179823,0.945380656464522
APFD,2012,GGA,hybrid,,,1.6669528081525595,1.7807473188261964,1.812968177887026,0.8577211734797169,0.8561822688004173,0.8642697792771621,0.779979730817021,0.7153660213545585,1.1702415302721647
MN12-L,2012,mGGA,,,,3.908231504647152,4.985548313492969,8.994762341740262,2.3920322384802257,3.2962836249858847,5.741099944000516,4.823429320343196,4.412766963900886,7.37346684065858
MN12-SX,2012,mGGA,range-separate,,,3.4167604699441902,4.575303874689158,13.004112455458303,2.0055902359673405,2.9468299631336694,7.158675014994495,4.430930472794497,3.955841419376982,7.06257036276304
MS0,2012,mGGA,,,,2.03599729449269,2.131440275178294,1.8900219385675472,0.986924544125815,0.8505007293624569,0.788023110055757,0.905534422602665,0.822102915667673,1.3757862482148084
N12,2012,GGA,,,,6.308472311348206,6.38685940309495,6.7089576921645575,2.2493240319304553,2.723393047571783,3.2759863747961533,5.691401467788854,4.841615665882191,9.713504387208388
N12-SX,2012,GGA,range-separate,,,5.012512409302249,6.325770417792368,6.970041671184901,1.5823592006440599,2.500167232339669,3.8896556080758002,4.215045771998991,3.7628952844677372,6.654009415011842
PBE0-2,2012,GGA,hybrid,hybrid,,1.5500239086602132,1.5974714819357296,1.2108508175178048,0.6436356557141846,0.47827444177281103,0.33429282675719174,0.9446348841444748,0.893329630168966,1.3379175065076652
xDH-PBE0,2012,GGA,hybrid,hybrid,xDH,0.906551792922458,0.8976438969676742,0.6685249696571632,0.4037105793918618,0.28624884823951297,0.19173926596841162,0.4150698928085166,0.3608801496521501,0.6558367654317863
DSD-BLYP-D3BJ,2013,GGA,hybrid,hybrid,,1.4134555032219154,1.5301664869902072,1.319359234849795,0.6446916020548817,0.5488404846576583,0.48273752298022016,0.6429611002101471,0.5950942612109907,0.9602333513807935
DSD-PBEB95-D3BJ,2013,mGGA,hybrid,hybrid,,1.3671393327002168,1.5038938537927464,1.3132503245690734,0.6003568617740559,0.5618104487648756,0.5096224784571513,0.6676603440804594,0.6358523001942255,0.9331805283478047
DSD-PBEP86-D3BJ,2013,GGA,hybrid,hybrid,,1.4327070903368322,1.5397675338388843,1.3028729462665765,0.6487047772448049,0.5291205017544821,0.45735211322887176,0.8855542201384339,0.8352322581075148,1.2493223818232764
DSD-PBEPBE-D3BJ,2013,GGA,hybrid,hybrid,,1.3790385089385242,1.4374694167938014,1.1938277986127288,0.6171075095066068,0.5080124300490657,0.42676924190570154,0.7247931046125928,0.6814766985726651,1.0375293269057693
