,B+1,B+3,Be+0,C+2,C+4,F+5,F+7,N+3,N+5,Ne+0,Ne+6,Ne+8,O+4,O+6
PBE,-24.29339215014025,-21.981971325802043,-14.629910214686342,-36.46100616337946,-32.34417367878878,-87.97120607531375,-75.4302535401283,-51.13033486211294,-44.70626119483673,-128.86611403622467,-110.14218024841966,-93.79219735945796,-68.30053386922606,-59.068278416660775
PBE0,-24.30196371333284,-21.994380321037376,-14.636607855930778,-36.47140692190475,-32.35988717451896,-87.9870269786191,-75.45584387908977,-51.14254739200739,-44.72527107754217,-128.87144719627133,-110.15980322437252,-93.82107447029253,-68.31455157007339,-59.09058004164918
PBE1KCIS,-24.304784849900024,-21.997517322717385,-14.636769073462284,-36.47658445748853,-32.36362003359815,-87.99725087927571,-75.46033583650647,-51.14970755528963,-44.729391842826224,-128.88697842829683,-110.17122376613996,-93.82561548426223,-68.32337368626982,-59.094940763888665
PBEC,-24.329904863910702,-22.0330120936692,-14.659053741810657,-36.50478806329665,-32.408389847259635,-88.03665249407841,-75.53391081843104,-51.18135272547073,-44.78363385137883,-128.8986610699328,-110.21483072350523,-93.9089891196675,-68.35877215227919,-59.1587969175924
PBELYP,-24.30888138151995,-21.98561438175948,-14.640197126040174,-36.48005497088923,-32.34761996632967,-87.9958337793625,-75.43311185747704,-51.1518680063949,-44.709498391890556,-128.90261796718528,-110.1677976685496,-93.79489445977542,-68.32384715076006,-59.07131718003551
PBELYP1w,-24.346803267024384,-22.015086464720405,-14.673890691126616,-36.521710212819,-32.37969148958948,-88.04674146584561,-75.47115426028613,-51.19689047438392,-44.74381332633985,-128.99633677882687,-110.22130621499348,-93.83452010228291,-68.37193864607107,-59.10760312932885
PBEOP,-24.314842800336315,-22.005647814712884,-14.64506584175185,-36.4875744396919,-32.369820933756166,-88.00815025388526,-75.45952168410172,-51.16104569178585,-44.733404215748266,-128.8972177109094,-110.18152167030941,-93.82224913043876,-68.3346439313105,-59.09659707899609
PBEP86,-24.302585712975333,-21.98829889782851,-14.63781222461055,-36.472872671961824,-32.35548025614955,-87.99699958051491,-75.4595089821587,-51.14598662225216,-44.72322004988153,-128.90436350815364,-110.17394292400478,-93.82779859912347,-68.32089120629789,-59.091279976393
PBEPW91,-24.304271297413198,-21.99082258834811,-14.638668129750727,-36.47378698070272,-32.35423142244558,-87.98873254705677,-75.44321671925506,-51.14483769701178,-44.71738889270379,-128.89750714280763,-110.16105239602302,-93.80596151053665,-68.31661039966991,-59.08036782127933
PBEPZ81,-24.453679898483664,-22.09746856657987,-14.768911800646896,-36.63895605779652,-32.469510678643566,-88.18955522631511,-75.57826177123306,-51.323408510522725,-44.840101250930914,-129.25704624992787,-110.37140742620437,-93.94624339236242,-68.506920110897,-59.20960276528402
PBEVWN,-24.454850989064532,-22.09903592668322,-14.769926370084871,-36.64037242554622,-32.471032445219834,-88.19171956717675,-75.57947708754192,-51.32512885057666,-44.84153431197863,-129.26325436811481,-110.37368267280034,-93.94734640315205,-68.50890637232877,-59.210930085891874
