,B+1,B+3,Be+0,C+2,C+4,F+5,F+7,N+3,N+5,Ne+0,Ne+6,Ne+8,O+4,O+6
OLYP,-24.343111428116163,-22.025363485662936,-14.667331914821053,-36.52124789396406,-32.396669856627696,-88.05789780586369,-75.51004519824066,-51.2000012916576,-44.76784623328342,-128.95609989458202,-110.23686235822377,-93.88111742894061,-68.37891176136398,-59.13895909570316
OP,-24.337119885635794,-22.040430735317592,-14.664414533188651,-36.513718691627815,-32.41694740699756,-88.04997825343604,-75.54519379511045,-51.19186943524032,-44.79319854759412,-128.91172797168807,-110.22940070986762,-93.9210152792376,-68.37074988850311,-59.16926266019884
OP86,-24.33783959926145,-22.028163655643812,-14.665972455145509,-36.515094097515615,-32.40463347285108,-88.0599735247052,-75.53651382645509,-51.195136907482485,-44.78165939216345,-128.9589375488993,-110.24385094694958,-93.91408520895732,-68.3769279003777,-59.15900249904885
OPBE,-24.328868921757074,-22.02179145597987,-14.658307683184251,-36.5033649356895,-32.39327220341278,-88.03406100253643,-75.50720435829882,-51.179511883022954,-44.76464255880808,-128.9210216915517,-110.21193070398638,-93.8784342848736,-68.35650354794555,-59.135943776065595
OPTX,-24.236456146948075,-21.975328782270168,-14.572552923934861,-36.406845032471146,-32.34632394495754,-87.93116820280773,-75.45955072169353,-51.08019722128807,-44.71737297926061,-128.57297687480255,-110.10781651275887,-93.83066141616816,-68.25516481008289,-59.08845094270487
OPW91,-24.339673997816046,-22.030638475322817,-14.66700919174234,-36.51606511895904,-32.40332640361457,-88.05153164407102,-75.52016615905971,-51.19393843737377,-44.77576745977129,-128.95229225206432,-110.23075748535028,-93.89219768036355,-68.37251458570658,-59.148031121347984
OPZ81,-24.488507047780654,-22.137273786124148,-14.796688142942877,-36.68066571040837,-32.51859603891106,-88.25197767931573,-75.65520706645006,-51.37199278205769,-44.89847184214499,-129.31125146968205,-110.44079862617603,-94.03247722720818,-68.56238311562444,-59.277259978376286
OVWN,-24.48967328379578,-22.138841730314265,-14.797700586053304,-36.68207718657361,-32.52011734681372,-88.25414279696697,-75.65642121899597,-51.37371021696598,-44.89990397523397,-129.31750988397894,-110.44307519473844,-94.0335791003939,-68.56436880378332,-59.278586183798396
OVWN1RPA,-24.56609688523607,-22.180304511261095,-14.871106723885775,-36.76050607034591,-32.56218139157371,-88.33615544311826,-75.69965868924471,-51.45361939689679,-44.94243909743426,-129.51898032870594,-110.5258780186361,-94.07708881423902,-68.64543745597845,-59.32150411908559
P86,-24.339098551922113,-22.039514647331107,-14.66678778721446,-36.51669417491787,-32.419857842617844,-88.06255169320671,-75.56324756750858,-51.19707379148879,-44.80073069354331,-128.936375916472,-110.24669204073473,-93.94464021601931,-68.3792238114049,-59.18190750866378
PBE,-24.29320289337061,-21.981863637777355,-14.629756330351293,-36.46081522153388,-32.34405785609108,-87.97092317398945,-75.43016197522266,-51.130120636267975,-44.7061460978956,-128.86575719002496,-110.14186452327225,-93.7921225977329,-68.30027796993016,-59.068170572122334
PBE0,-24.301861687786285,-21.994327314114955,-14.636524966147444,-36.4713105113111,-32.35983060417326,-87.98688337464408,-75.45580707789846,-51.14244503419748,-44.72521705890063,-128.87124604403607,-110.1596335948037,-93.82104842072319,-68.31442759533662,-59.090532953949335
PBE1KCIS,-24.304672429806445,-21.997428740268493,-14.636638219974344,-36.47645101941005,-32.36353128397386,-87.99704803871909,-75.4602792343533,-51.149545802600706,-44.72930945370881,-128.88672242328735,-110.1710049063048,-93.82557368549163,-68.32318349974379,-59.09486920036138
PBEC,-24.329880011696623,-22.03300613612895,-14.659040014443057,-36.50476080531753,-32.40838324271189,-88.03661120779728,-75.53388940017224,-51.18132710784627,-44.7836243929456,-128.89865195126308,-110.21476765225353,-93.90895687455351,-68.35874133906148,-59.158781379244445
PBELYP,-24.30863065145219,-21.985520005349326,-14.640043396163417,-36.47978721938087,-32.34752195795224,-87.99550468333275,-75.43303658104482,-51.151574994430646,-44.70940278058801,-128.90224715790933,-110.16745597735512,-93.79483237645252,-68.32352536446642,-59.07122860705747
PBELYP1w,-24.34655914928487,-22.014979654267712,-14.67373319517621,-36.52144987660595,-32.37958113830804,-88.04642230828227,-75.47107055132572,-51.196605726195074,-44.743706146611444,-128.99596592280514,-110.22097524150836,-93.8344514641498,-68.37162624914637,-59.10750416220522
PBEOP,-24.314623651837298,-22.005501413640744,-14.6448991301033,-36.487345605890205,-32.36966962862868,-88.00787510163312,-75.45940648687538,-51.160799193459624,-44.7332573095954,-128.89685817543327,-110.18123535203867,-93.82215451815149,-68.33437464370216,-59.0964611410594
PBEP86,-24.302439960768716,-21.988182601597643,-14.637713449610853,-36.47271274806989,-32.35536451313923,-87.99677889258652,-75.45942577619643,-51.14580994057137,-44.723110411982574,-128.904014605119,-110.17369415018206,-93.82773157871966,-68.32068894512432,-59.09118034593962
PBEPW91,-24.304074819415742,-21.990705806040157,-14.638509925637619,-36.47358704965366,-32.35410745505244,-87.98845090335891,-75.44311988845362,-51.14461554427141,-44.71726662212483,-128.89713974202456,-110.16074320418207,-93.80588231814988,-68.31635085737273,-59.080253740987004
PBEPZ81,-24.453451067583032,-22.097320206720195,-14.768738114199387,-36.63871432706173,-32.469358809167396,-88.18926390493625,-75.57814782967864,-51.32314587330683,-44.839954648720216,-129.25667381960247,-110.37110648831083,-93.94615020097659,-68.50663383346955,-59.20946764982209
PBEVWN,-24.454621671646287,-22.09888718327323,-14.769752371351707,-36.640130164472524,-32.47088000418699,-88.19142749638462,-75.57936265154281,-51.32486547017929,-44.841387106705305,-129.26288227940887,-110.37338119981183,-93.9472527968344,-68.50861916500756,-59.21079440336264
PBEX,-24.201550933754696,-21.93547519539447,-14.544828497761431,-36.365011220641186,-32.29716963760778,-87.86852053916537,-75.38254598690345,-51.031444865823595,-44.658926345073525,-128.5194493987645,-110.03818223121269,-93.74438329768692,-68.19949264075714,-59.02071975081196
PBEh1PBE,-24.30540167457761,-21.99781109902342,-14.639488060284634,-36.47545885254262,-32.3639814928215,-87.9929053475459,-75.46197660035804,-51.14720846370991,-44.730040424571015,-128.88341998237578,-110.16629689447545,-93.82789747371298,-68.31980589100654,-59.09602077502325
PBEsol,-24.162840062901957,-21.869834824342778,-14.532173223509739,-36.29735150966038,-32.20587541186683,-87.70697136323771,-75.21307397885366,-50.93332898138274,-44.541717109660844,-128.52515868322325,-109.84415754669448,-93.54865464740175,-68.06997799202892,-58.87743443721263
PKZB,-24.313905066667697,-22.007963593091766,-14.650017634534407,-36.48168071846302,-32.37469436334829,-87.99196301828378,-75.47421997682036,-51.15104911046757,-44.7412803942586,-128.76000569866466,-110.16296541131246,-93.8406211744571,-68.32124257243949,-59.10777619489535
PW91,-24.315784318207196,-21.999519070107166,-14.647711392424773,-36.48788275508749,-32.36478338328264,-88.01048715175374,-75.45936995719592,-51.161501545602036,-44.729802760134845,-128.94591073942024,-110.18535102019119,-93.82398972219796,-68.33581066197608,-59.094647579401894
PW91C,-24.34069550339331,-22.04185380655943,-14.667725987402491,-36.51747664774712,-32.41843960573739,-88.05408101157218,-75.54685527853823,-51.19576491050572,-44.794752425109785,-128.92977265113367,-110.23358892231032,-93.92272458139863,-68.3747564586768,-59.17087251541322
PW91LYP,-24.320347588309318,-21.994352347052992,-14.649234027188962,-36.494092000697776,-32.35821672424809,-88.01757244284111,-75.44930253287524,-51.16847729180774,-44.72195691867509,-128.9510528969412,-110.19209993452247,-93.81295463591805,-68.34301041200496,-59.08563942647704
PW91P86,-24.31414325587408,-21.99699569982572,-14.646917584860734,-36.48700156378724,-32.366041863206945,-88.01881536454016,-75.47568036077303,-51.16269295057282,-44.73564923636847,-128.95274985604928,-110.19830190244774,-93.84584411566928,-68.34014832027174,-59.105577866430785
PW91PBE,-24.304912309826143,-21.99067569616637,-14.63895777764644,-36.47511106661658,-32.35473275952482,-87.9929582015749,-75.44641136728154,-51.14700639530025,-44.718681352470696,-128.914512464101,-110.16647079509562,-93.81022940001766,-68.3197369592791,-59.082563641344976
PW91PZ81,-24.465177972742662,-22.10614632317016,-14.777950209477867,-36.65302199628219,-32.48004574554582,-88.21131578116714,-75.59440545457913,-51.34004346584591,-44.85250038135402,-129.30553927210968,-110.39573135022451,-93.96426442423814,-68.52610750933749,-59.22386997202998
PW91VWN,-24.466349008318367,-22.10771309198642,-14.778965243701137,-36.65443812177827,-32.48156672933445,-88.21347908327357,-75.59562013792416,-51.34176317265525,-44.85393265046595,-129.3117503418123,-110.39800567830778,-93.96536690209834,-68.52809271316158,-59.225196563101925
PW91X,-24.213273604891963,-21.944295284393622,-14.554041841189218,-36.37931238055641,-32.307851961306184,-87.89057017073493,-75.39880096973282,-51.048337562740066,-44.671468384932446,-128.56819779753835,-110.06280541868371,-93.76249521000479,-68.21896319199067,-59.035119028219064
PZ81,-24.48958598405122,-22.14838518620812,-14.797221236590708,-36.68220779097084,-32.5336255200141,-88.2545803867379,-75.6818438372057,-51.373939886512375,-44.917387134896764,-129.28739538330782,-110.44365519771466,-94.0629575355578,-68.5647073035301,-59.30004206385678
R2SCAN,-24.315896019546003,-22.03309396064884,-14.648832962868632,-36.486905942437716,-32.40851680835036,-88.00647047970145,-75.53427737280202,-51.15947789442144,-44.78383364219094,-128.93405719618644,-110.18030402213171,-93.90943603876863,-68.33277492346502,-59.15907961419882
R2SCAN0,-24.31890376888579,-22.03189633312822,-14.650514407923568,-36.491181625068705,-32.40733987714522,-88.01445407927953,-75.53312726102313,-51.16499865888891,-44.78266990206116,-128.92304778629253,-110.18953628188308,-93.90828906935609,-68.33953424680114,-59.1579243140782
R2SCAN50,-24.322002454650903,-22.030745879236157,-14.652283009718758,-36.49554989111379,-32.40620725246136,-88.02253066692606,-75.53201708980276,-51.17061307514256,-44.78154846235296,-128.9127118893848,-110.19886061462405,-93.90718126401826,-68.34638696612032,-59.15680976500195
R4SCAN,-24.315816121015178,-22.0330939606488,-14.648865360233614,-36.487027962786314,-32.40851680835035,-88.00655938159365,-75.5342773728021,-51.16007261288628,-44.78383364219097,-128.93584096605892,-110.17996262061529,-93.90943603876882,-68.33258512885767,-59.15907961419877
R4SCAN0,-24.31883959764743,-22.03189633312821,-14.65052208512024,-36.49128575982888,-32.407339877145155,-88.01453168049,-75.53312726102314,-51.16544676017023,-44.78266990206114,-128.92432518144565,-110.18928186626998,-93.90828906935599,-68.33939751907764,-59.157924314078286
RPBE,-24.34913092511617,-22.031078969027025,-14.673868515618166,-36.52845333639295,-32.40375766439773,-88.07363617991496,-75.52132124132166,-51.20944274539783,-44.776332239156346,-128.95741080506735,-110.25629458245452,-93.8937697403527,-68.39128288322016,-59.148843175162256
RSCAN,-24.319251060589888,-22.033093960648802,-14.650951087384602,-36.49153977296599,-32.40851680835034,-88.01496677257373,-75.53427737280208,-51.1653963730421,-44.78383364219103,-128.97156248214873,-110.19008835724048,-93.90943603876865,-68.33998351917974,-59.15907961419879
SCAN,-24.31769834327993,-0.4345961048205683,-14.649887952753279,-36.48977031206474,0.20037940543926308,-88.01235977317593,-75.53427737280111,-51.16298868515693,9.255960839742663,-128.9516292806578,-110.18559558096754,-26.151112992251985,-68.33681682506817,-59.15907961419889
